TL0018L,Công Ty Tnhh Công Nghệ ThuậN Phong Laser
TL0022L,DNTN Khách sạn 46
TL0023L,Công Ty Tnhh Đầu Tư Dịch Vụ Vận Tải Phượng Hoàng
TL0025L,Công ty TNHH XD Minh Chương
TL0027L,Công Ty Tnhh Thương Mại Và Dịch Vụ Thép Miho
TL0029L,Công ty CP SX XD TM Đức Tân
TL0031L,Công ty TNHH TM Điện tử tin học EI
TL0043L,Công ty TNHH Thương Mại Dịch Vụ Đại Nam Hưng
TL0053L,Công ty TNHH SX Trụ  Điện và Cơ Khí Tiền Phong.
TL0071L,Công ty sản xuất đá Granit- Trách nhiệm hữu hạn
TL0095L,Công ty TNHH Thái Sơn SP
TL0103L,Công ty  TNHH May Bình Hòa
TL0113L,Công ty TNHH XD Thế Minh
TL0116L,Công ty TNHH DV-KT Điện á Đông
TL0120L,Công ty TNHH thương mại - điện & điện tử Bình Sơn
TL0130L,Công ty cổ phần Hưng Đạo CONTAINER
TL0167L,Công ty TNHH Đô Thành
TL0175L,Công ty TNHH XD TM DV Sơn Hùng
TL0177L,Cơ sở Kim Quý
TL0178L,Công Ty TNHH Hiến Long
TL0200L,Công ty TNHH 1 thành viên TM DV Lam Giang
TL0201L,Công ty TNHH TM Hoàng Lộc
TL0203L,CTY TNHH DV-VT TIếN SƠN
TL0212L,Công ty TNHH VC-GN Đô Thành
TL0220L,Công ty TNHH  SX và TM Vĩnh Phát
TL0221L,Cty Cổ phần XD và KD Nhà Đại Phúc
TL0232L,Trường chuyên biệt khiếm thính hy vọng Bình Thạnh
TL0235L,Công ty CP TM DV Đất Mới
TL0239L,Công ty cổ phần xây dựng và kinh doanh nhà Kim Sơn
TL0240L,Công ty TNHH Thanh Long
TL0247L,Công ty TNHH CN Công Minh Nết
TL0248L,Công ty TNHH XD Nam Việt Kiến Thiết
TL0252L,CT TNHH Ngôi sao xanh
TL0254L,Công ty TNHH XD TM DV Suối Tiên
TL0256L,Công ty TNHH Xây dựng Phong Cảnh Hoàng Điệp
TL0261L,Công ty TNHH SX XD-TM Yên Sinh
TL0263L,Công ty TNHH TM Tự Do
TL0265L,Công ty TNHH DUY AN
TL0266L,Công ty TNHH May thêu XK Tân Vinh
TL0270L,Công ty CP Dược Phẩm Gia Định
TL0271L,Chi nhánh Công ty CP Nội thất Hòa Phát
TL0272L,Công ty cổ phần hàng tiêu dùng Masan
TL0274L,Công ty TNHH Thiên Phương  Nam
TL0277L,Công ty TNHH  TMDV trang thiết bị y tế  Sài Gòn  AST
TL0278L,Công ty TNHH TM-DV Điện Mạnh Phương
TL0281L,Công ty Cổ Phần Tập Đoàn PAN
TL0283L,Công ty TNHH TMDV Thiên Kỷ
TL0286L,Công ty TNHH TM DV Gas Thanh Bình
TL0289L,DNTN TM DV Thừa Phúc
TL0290L,Công ty TNHH XD Lê Hữu
TL0291L,Công ty TNHH TV Tam Long
TL0292L,Công ty TNHH ĐĐXDTM Hưng Thịnh
TL0294L,Công ty TNHH TM BA BA
TL0295L,Công ty cổ phần TV XD Miền Nam
TL0300L,Chi nhánh Công ty TNHH TBPT Hòa Phát
TL0302L,Công ty TNHH XD  Cấp thoát nước Thành Đô
TL0305L,Công ty TNHH TM-DV Ngọc Duy
TL0309L,Công ty TNHH DV Kiểm Toán & TV KT Bắc Đẩu
TL0311L,TT NCTV CTXH & PT Cộng Đồng
TL0312L,Công ty TNHH Nam Việt R
TL0313L,Công ty TNHH Toàn Phong
TL0320L,Công ty  TNHH TM XD Bình Nguyễn
TL0321L,CÔNG TY TNHH QUẢNG CÁO THƯƠNG MẠI VÀ DỊCH VỤ ÁNH MINH
TL0322L,Công ty TNHH 1 TV Gốm Mỹ Nghệ Sài Gòn
TL0323L,Công ty TNHH TV XD Điện Sài Gòn
TL0327L,DNTN TM-DV Đức Triều
TL0330L,Viện CN XD cầu đường phía nam
TL0333L,Công ty TNHH TMSX Thú y Thịnh Phát
TL0334L,Công ty TNHH DVTM-SX-XD Đông Mê Kông
TL0343L,Công Ty CP Kiến Trúc Đồng Nhân
TL0344L,Công ty TNHH nghiên cứu thị trường FTA
TL0346L,Công ty TNHH An Huy BT
TL0347L,Công ty TNHH Hào Thành
TL0350L,Công ty TNHH XD TMSX Trường Tiền
TL0354L,Công ty CP TV ĐT xây dựng Hồng Anh
TL0355L,Công ty TNHH TM Tân Nhật Minh
TL0357L,Công ty TNHH XD Bách Thắng
TL0359L,Công ty Cổ phần TM-DV Bình Minh
TL0360L,Công ty TNHH  một thành viên G.A.T
TL0361L,Công ty TNHH Sài Gòn Kiến Tạo
TL0364L,Công ty TNHH TV-TK&XD Thiên Đức
TL0365L,DNTN Việt âu
TL0366L,Công ty TNHH  TM Thảm Len Quang Minh
TL0367L,Hộ Kinh Doanh Nguyễn Thị Kim Thoa
TL0369L,Công ty TNHH Khoa Học Kỹ Thuật Liên Minh
TL0370L,Công Ty TNHH KD Thuốc  thú y Minh Ngân
TL0373L,Công Ty TNHH TM Thế Sang
TL0375L,Công Ty TNHH TMDV Bình Thiên
TL0376L,Công Ty TNHH TM-KT Hiệp Phong
TL0378L,Công Ty TNHH XD-TM Hoàng Thành
TL0379L,Công Ty TNHH Sông Lam
TL0380L,Công Ty TNHH XD-TM Việt Hải
TL0383L,Công Ty TNHH  TM DVGN Điện Biên
TL0384L,Công Ty  TNHH XD TM  Đông Minh
TL0385L,Công Ty TNHH DV-VT Tấn Phú
TL0386L,Công ty Cổ phần  SX-TM Nam Hoa
TL0387L,Công Ty TNHH TM-DV Nam Thiên Hà
TL0389L,DNTN HCĐ Phượng Hoàng
TL0392L,Công ty TNHH Tư Vấn Việt Nam
TL0394L,Cơ Sở Mộc Tuyết Mai
TL0397L,Công ty TNHH Than Cảng Sài Gòn
TL0398L,Công Ty TNHH dịch vụ thương mại Sao Băng
TL0400L,Công Ty TNHH Mi Hồng
TL0402L,DNTN Mi Hồng Hàng  Xanh
TL0405L,Doanh nghiệp tư nhân kinh doanh vàng Mi Hồng 2
TL0406L,Doanh Nghiệp Tư Nhân Kinh Doanh Vàng Và Dịch Vụ Cầm Đồ Mi Hồng III
TL0412L,Công Ty TNHH TMĐTXD Minh Phước
TL0418L,Công Ty Cổ Phần Khải Tường Hưng
TL0419L,Công ty TNHH May Mặc Nguyễn Hiền
TL0421L,Công ty TNHH tư vấn XD TM Công Nghiệp Mới
TL0422L,CTy TNHH DV-TM Thiết bị Âm Thanh ánh Sáng Tân Hữu Tài
TL0425L,Công ty TNHH Tư Vấn Đầu tư và Xây Dựng Quốc Tế
TL0434L,Công Ty TNHH SX-TM Vạn Thọ
TL0435L,Công Ty TNHH MTV XD & TM Hữu Lộc
TL0436L,Công Ty TNHH TM-DV Hà Thành
TL0438L,Công Ty TNHH SX-TMDV Tân Đại Thịnh
TL0439L,CN Công Ty TNHH Hoàn Mỹ
TL0442L,Công Ty TNHH TM ĐT Thiên Đỉnh
TL0444L,Công Ty CP  TM VT Lê Thanh
TL0446L,Công ty TNHH TM-DV T & H
TL0448L,Công Ty TNHH Làng Bình Minh
TL0449L,Công ty TNHH TMDV HTD Hồng Đạt
